"file","function","score","rank"
astutils.cpp,_ZZL25functionModifiesArgumentsPK8FunctionENKUlRK8VariableE_clES4_,0.0625,220
token.cpp,_ZNK5Token12isUnaryPreOpEv,0.0625,220
templatesimplifier.cpp,_ZN18TemplateSimplifier20simplifyCalculationsEP5TokenS1_b,0.0625,220
tokenize.cpp,_ZN9Tokenizer24checkForEnumsWithTypedefEv,0.0625,220
symboldatabase.cpp,_ZNK4Type4nameB5cxx11Ev,0.0625,220
symboldatabase.cpp,_ZNK5Scope22findRecordInNestedListERKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEE,0.0625,220
symboldatabase.cpp,_ZN14SymbolDatabase12setValueTypeEP5TokenRK8Variable,0.0625,220
tokenize.cpp,_ZN9Tokenizer26simplifyAddBracesToCommandEP5Token,0.0625,220
valueflow.cpp,_Z6isZeroIdEbT_,0.058823529411764705,235
templatesimplifier.cpp,_ZN18TemplateSimplifier11deleteTokenEP5Token,0.058823529411764705,235
tokenlist.cpp,_ZL10findAstTopP5TokenS0_,0.058823529411764705,235
tokenlist.cpp,_ZL16createAstAtTokenP5Tokenb,0.058823529411764705,235
token.cpp,_ZN5Token6typeOfEPKS_PS1_,0.058823529411764705,235
token.cpp,_ZNK5Token21hasKnownSymbolicValueEPKS_,0.058823529411764705,235
valueflow.cpp,_ZZN18ExpressionAnalyzer15setupExprVarIdsEPK5TokeniENKUlS2_E_clES2_,0.058823529411764705,235
valueflow.cpp,_ZL16getLifetimeTokenPK5TokenRNSt7__debug4listISt4pairIS1_NSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEEESaISB_EEEPb,0.058823529411764705,235
